street,city,state,geoid,state_code,county_code,tract
SONOMA BLVD AND MARITIME ACADEMY DRIVE,VALLEJO,CA,060952508011011,06,095,250801
1847 E. LEVEE ST. AND TURTLE CREEK,DALLAS,TX,481130100032196,48,113,010003
1789 JONESTOWN ROAD,WINSTON-SALEM,NC,370670038061002,37,067,003806
WIGWAM PARKWAY ,HENDERSON,NV,,,,
20058 MONICA STRRET,DETROIT,MI,261635390002021,26,163,539000
13698 S. AIRPORT RD,LANSING,MI,260370103002026,26,037,010300
174 OAKLAND HEIGHTS,FOREST CITY,NC,371619609004014,37,161,960900
601 S. RIVERFRONT BLVD,DALLAS,TX,,,,
30W020 ESTES ST.,WARRENVILLE,IL,,,,
MATT HIGHWAY @ POOLES MILL ROAD,BALL GROUND,GA,,,,
6580 S 3000 E,COTTONWOOD HEIGHTS,UT,490351110023003,49,035,111002
8053 RODNEY STREET,PHILADELPHIA,PA,421010261001018,42,101,026100
HIGHWAY 42 @ BISCAYNE BLVD.,REX,GA,130630404201020,13,063,040420
14822 DELFBUSH STREET,MORENO VALLEY,CA,060650425092008,06,065,042509
1001 CREST DRIVE,TOPEKA,KS,201770024012014,20,177,002401
KASSON RD AND DURHAM FERRY RD,TRACY,CA,060770055031011,06,077,005503
7433 LYNCH ROAD,OTTAWA LAKE,MI,261158330002061,26,115,833000
INTERSECTION OF PINECREST AND MISTLETOE DR.,COVINGTON,LA,,,,
47071 BAYSIDE PARKWAY,FREMONT,CA,060014415032049,06,001,441503
3100 W. RIVER PARKWAY,MINNEAPOLIS,MN,270531076001002,27,053,107600
2315 UNIVERSITY AVE,NEW YORK,NY,,,,
10871 WALNUT GROVE BEND,CAMBY,IN,180632106081043,18,063,210608
8537 ,KENWOOD,CA,,,,
3976 MISSION STREET,SAN FRANCISCO,CA,060750254031004,06,075,025403
1323 LENORE AVE.,COLUMBUS,OH,390490003202006,39,049,000320
BURNETT FERRY ROAD @ RADIO SPRINGS ROAD SW,ROME,GA,131150014001048,13,115,001400
47-55 37 STREET,NEW YORK,NY,360610082001002,36,061,008200
2405 OLD GLENN HIGHWAY,PALMER,AK,021700013002012,02,170,001300
1814 MORRO ST,SAN LUIS OBISPO,CA,060790111041023,06,079,011104
8615 E APACHE TRAIL C-63,MESA,AZ,040134226273004,04,013,422627
14852 LINCOLN ST. WEST,NORTH LAWRENECE,OH,,,,
641 SUDDERTH DRIVE,RUIDOSO,NM,350279608002028,35,027,960800
41 SPRING ST,WILKES-BARRE,PA,420792014003015,42,079,201400
1001 BENCH MARK ROAD,MCDONOUGH,GA,131510702142003,13,151,070214
CONSUMERS ENERGY REGULATOR STATION 66079,FLINT,MI,,,,
340 HYDE PARK AVENUE,BOSTON,MA,250251103012008,25,025,110301
41140 NONA COURT,HEMET,CA,060650433142007,06,065,043314
INTERSECTION OF COLGATE LANE AND O'CONNOR RD.,IRVING,TX,,,,
266 ROMA DRIVE,CROSSVILLE,TN,470359705021029,47,035,970502
765 ASHLEY ROAD,MONTECITO,CA,060830007003000,06,083,000700
334-336 PARK STREET,LAWRENCE,MA,250092504003004,25,009,250400
150 NW COLBERN ROAD,LEE'S SUMMIT,MO,290950143002018,29,095,014300
360 CARTY AVENUE,FORT MONMOUTH,NJ,,,,
413 GRANDVIEW DRIVE,ANDERSON,IN,180950113002000,18,095,011300
HAWK SPRINGS AND MESA PARK DR,LAS VEGAS,NV,,,,
INTERSECTION OF NE 24TH AND FOLSOM,AMARILLO,TX,,,,
151 BAY 49TH STREET,BROOKLYN,NY,360470018031003,36,047,001803
1700 BROAD STREET,UTICA,NY,360650208025002,36,065,020802
4643 CLELAND AVENUE,LOS ANGELES,CA,060371862031009,06,037,186203
1505 BASIN STREET,NEW ORLEANS,LA,220710039002020,22,071,003900
INTERSECTION OF COLLINS AND ROGERS,ARLINGTON,TX,,,,
507 N 2ND ST,ABERDEEN,SD,460139513004028,46,013,951300
200 FOX HOLLOW DRIVE,MAYFIELD HEIGHTS,OH,390351722022004,39,035,172202
381-383 WEST MAIN STREET,LITTLE FALLS,NY,360430107012025,36,043,010701
3534 ESPANOLA DR.,DALLAS,TX,481130098023014,48,113,009802
613 FLEMING FALLS RD.,MANSFIELD,OH,391390018002019,39,139,001800
21  THAMSEN DRIVE,STONY POINT,NY,360870102001006,36,087,010200
3400 OLD ALABAMA ROAD,JOHNS CREEK,GA,,,,
747 TIMMONS BLVD,RAPID CITY,SD,461030109084000,46,103,010908
2101 BEL AIR AVE,SAN JOSE,CA,060855005005002,06,085,500500
101 TOSCHES CREEK CIRCLE,UNION,SC,450870301001022,45,087,030100
624 EUREKA AVENUE,RENO,NV,320310001051011,32,031,000105
56 SOUTH MCDONNELL RD,SOUTH SAN FRANCISCO,CA,060819843001004,06,081,984300
13505 US HWY 90,BOUTTE,LA,220890628004020,22,089,062800
32ND ST AND 113TH WEST AVENUE,SAND SPRINGS,OK,,,,
101 PANORAMIC WAY,BERKELEY,CA,060014227001006,06,001,422700
433 MYRTLE DR.,HURST,TX,484391134083001,48,439,113408
12445 HIGHWAY 50,SALIDA,CO,,,,
INTERSECTION OF TOPANGA CYN BLVD ,CHATSWORTH,CA,,,,
INTERSECTION OF DITTO AVE. AND DUGAN ST.,ARLINGTON,TX,,,,
2312 EASTWAY ROAD,DECATUR,GA,130890223033010,13,089,022303
INTERSECTION OF HURSTBOURNE LANE AND TAYLORSVILLE ROAD,LOUISVILLE,KY,,,,
900 N. O'NEAL ST.,CALDWELL,TX,480519703002049,48,051,970300
13210 HOLLOWAY ROAD,LOST HILLS,CA,060290045002098,06,029,004500
58 BOBOLINK STREET,ROCHESTER HILLS,MI,261251945001012,26,125,194500
501 N. BROADWAY,CLEVELAND,OK,401179571002022,40,117,957100
648 COUNTY STREET,TAUNTON,MA,250056141014002,25,005,614101
46359 HULING STREET,SHELBY TOWNSHIP,MI,260992256002008,26,099,225600
99 MESEROLE AVENUE,BROOKLYN,NY,360470561003001,36,047,056100
2300 S. RUTH ST,WASILLA,AK,021700006011059,02,170,000601
2211 RUBY DRIVE,AUGUSTA,GA,132450105081002,13,245,010508
44600 FIVE MILE ROAD,NORTHVILLE,MI,261635613023005,26,163,561302
1500 RIVERSIDE AVE,BALTIMORE,MD,245102404001002,24,510,240400
3735 W. 56TH ST.,TULSA,OK,401430067012049,40,143,006701
WALTON BOULEVARD ,ROCHESTER HILLS,MI,,,,
408 SOUTH 2ND STREET,BROOKLYN,NY,360470527001000,36,047,052700
INTERSECTION OF MAIN AND BRISTOL,SUN PRAIRIE,WI,,,,
1106 PASEO BOULVARD,KANSAS CITY,MO,290950154012021,29,095,015401
INTERSECTION OF LOS ALAMITOS HEIGHTS RD ,GRANTS,NM,,,,
365 W. NORTHWEST HWY ,IRVING,TX,481130141443030,48,113,014144
8000 FOOTHILLS BLVD,ROSEVILLE,CA,,,,
4245 WAYSHARA AVE.,REDDING,CA,060890106023007,06,089,010602
UNKNOWN,JELLICO,TN,,,,
W.150TH ,CLEVELAND,OH,,,,
4695 W JEFFERSON,TRENTON,MI,261639823013003,26,163,982301
13004 S 29TH STREET,BELLEVUE,NE,311530102061011,31,153,010206
304 TOMBS RUN ROAD,JERSEY SHORE,PA,420810103001072,42,081,010300
4601 WILLOWDALE LANE,GREAT FALLS,MT,300130023011055,30,013,002301
23 E. DAME AVENUE,HOMERVILLE,GA,130659701002125,13,065,970100
2037 N MILWAUKEE AVE,CHICAGO,IL,170312215001015,17,031,221500
671 12TH AVE,COLUMBUS,NE,311419655005020,31,141,965500
REDHAWK PARKWAY AND EL CHIMISAL ROAD,TEMECULA,CA,,,,
100 POTOMAC PLACE,WINCHESTER,VA,510690510023000,51,069,051002
221 N. 16TH AVE.,YAKIMA,WA,530770006003009,53,077,000600
99 CONVENTION CENTER DRIVE,LAS VEGAS,NV,320030023021008,32,003,002302
85 ANDOVER ST,LAWRENCE,MA,250092517002005,25,009,251700
117 N OREGON ST,YREKA,CA,060930007031006,06,093,000703
314 CONTINENTAL DRIVE,GREENVILLE,SC,450450028041007,45,045,002804
BUCKSKIN AVENUE AND SHADY TIMBER STREET,LAS VEGAS,NV,,,,
TIMBERIDGE DRIVE AND CLIFTON ROAD,BETHEL PARK,PA,420034753044007,42,003,475304
142ND AND GIBBS RD.,Not Within a Municipality,KS,,,,
202 ,ELKHORN,NE,,,,
2075 RIPLEY STREET,LAKE STATION,IN,180890418001020,18,089,041800
LASALLE STREET EXIT OFF I-77,CHARLOTTE,NC,,,,
130 SAGINAW STREET,BEAVERTON,MI,260510008002042,26,051,000800
2301 BENDRIDGE TRAIL,AUSTIN,TX,484530024412009,48,453,002441
303 VIRGINIA STREET.,COLQUITT,GA,132019503002002,13,201,950300
11500 BALD HILL RD SE,YELM,WA,530670125322006,53,067,012532
4011 HARRISON STREET,BELLEVUE,NE,311530105022003,31,153,010502
6674 PENTZ RD.,PARADISE,CA,060070019002007,06,007,001900
527 2ND STREET,LAKEWOOD,NJ,340297154041014,34,029,715404
2315 PICKWICK STREET,SAVANNAH,TN,,,,
13962 E. LINVALE PLACE,AURORA,CO,080050815003001,08,005,081500
1618 S ALSTON AVENUE,DURHAM,NC,370630020091012,37,063,002009
2287 SOUTH IRISH ROAD,DAVISON,MI,260490116122005,26,049,011612
25900 NORTHWESTERN HIGHWAY,SOUTHFIELD,MI,261251616002002,26,125,161600
1452 EAST WOODBURY ROAD,PASADENA,CA,060374613004027,06,037,461300
104 SOMERSET DR,NOVATO,CA,060411022022000,06,041,102202
5250 FRYE RD.,IRVING,TX,,,,
743 TRUMBULL AVE.,LAWRENCE TWP.,NJ,340210031002006,34,021,003100
493 LEMAR AVENUE,OXNARD,CA,061110050062000,06,111,005006
2465 BROADWAY,NEW YORK,NY,360610179005000,36,061,017900
BELLE ISLE DOUGLAS MACARTHUR BRIDGE,DETROIT,MI,,,,
39TH STREET AND MAGNOLIA AVENUE,SAINT LOUIS,MO,295101172004008,29,510,117200
I-20 AND LUMLEY RD.,MESQUITE,TX,,,,
9646 SOUTH BEND,SAN ANTONIO,TX,480291817163002,48,029,181716
INTERSECTION OF FARRELL AND TEXAS AVE.,BUTTE,MT,,,,
4978 FYLER AVENUE,SAINT LOUIS,MO,295101142001001,29,510,114200
100 GENERAL MCINTOSH BLVD.,SAVANNAH,GA,130510118002065,13,051,011800
31010 N FISH LAKE RD,WAUCONDA,IL,,,,
3700 PROGRESSIVE ROAD,HEREFORD,TX,481179506003257,48,117,950600
3377 CRUMPTON S,LAUREL,MD,240037515001033,24,003,751500
9412 WHEELER CT.,PLYMOUTH,CA,060050003011027,06,005,000301
SWANNANOA RIVER RD ,ASHEVILLE,NC,,,,
25807 SE 157ND ST,ISSAQUAH,WA,,,,
NORTHERN BOULEVARD BET 112 PLACE AND 114 STREET,NEW YORK,NY,,,,
5220 12TH ST S,FARGO,ND,380170405051002,38,017,040505
19366 WALTZ,NEW BOSTON,MI,261639864001006,26,163,986400
CR 4235 ,RHINELAND,TX,,,,
13921 INDUSTRIAL PARKWAY,CLEVELAND,OH,,,,
INWOOD RD. AND HARRY HINES BLVD.,DALLAS,TX,481130004014003,48,113,000401
15319 DARROW RD.,VERMILION,OH,390430402002000,39,043,040200
1245 COLES BLVD.,PORTSMOUTH,OH,391450038003000,39,145,003800
406 IRWIN AVENUE,PONTIAC,MI,261251424003037,26,125,142400
PRUDENCE AND CALLE MADERO,TUCSON,AZ,,,,
300 SIMONTON ROAD,LAWRENCEVILLE,GA,131350505862002,13,135,050586
3300 GEARY BLVD.,SAN FRANCISCO,CA,060750154012001,06,075,015401
3918 18TH AVE NW,ROCHESTER,MN,271090017024006,27,109,001702
ABRAHAM WOODS JR DR ,BIRMINGHAM,AL,,,,
8 ST S AND 16 AVE S,MOORHEAD,MN,,,,
9740 BYPASS ROAD,ALTA,UT,490351101061009,49,035,110106
404 PINE,DUMAS,TX,483419503011021,48,341,950301
RIVER BEND ,GEORGETOWN,TX,,,,
801 CAPITAL CENTRE BLVD,LARGO,MD,,,,
3281 SOUTH UPPER TRUCKEE,SOUTH LAKE TAHOE,CA,060170305061009,06,017,030506
INTERSECTION OF KENT AVENUE AND BROADWAY,BROOKLYN,NY,,,,
401 W. VAN WEISS BOULEVARD,WEST BURLINGTON,IA,190570008004005,19,057,000800
2920 VANCE STREET EXTENSION,REIDSVILLE,NC,371570412001032,37,157,041200
PARKDALE AVENUE AND MILLER AVENUE,ROCHESTER,MI,261251912003001,26,125,191200
718 RIVER RD,GLENDIVE,MT,300210002002049,30,021,000200
44 BONAIRE DRIVE,BERKELEY TOWNSHIP,NJ,340297312061013,34,029,731206
2313 ROUTE 547,MANCHESTER,NJ,340297391002134,34,029,739100
2805 HOMESTEAD NORTH,PONCA CITY,OK,400710003004002,40,071,000300
OLD TRAIL AND PLANK RD,SHREWSBURY,PA,,,,
625 GILLETTE,SAN ANTONIO,TX,480291513021009,48,029,151302
201 W CHOCOLATE AVENUE,DERRY,PA,,,,
115 N DUKE STREET,DURHAM,NC,370630022001011,37,063,002200
22705 BALSA CIR,PRIOR LAKE,MN,271390811012008,27,139,081101
1175 E. FLAMINGO ROAD,LAS VEGAS,NV,320030026033003,32,003,002603
270 GEORGE WASHINGTON BLVD.,OSWEGO CITY,NY,360750216022013,36,075,021602
22555 TREETOP LANE,GOLDEN,CO,080590098451009,08,059,009845
3000 REGIS DR,FRONTENAC,MO,291892153024023,29,189,215302
16840 N 3000 E,MORONI,UT,,,,
490 CRAMERTOWN LOOP,MARTINSVILLE,IN,181095107042007,18,109,510704
15563 FELDSPAR DR.,CHINO HILLS,CA,060710001172003,06,071,000117
408 W. EXCHANGE ST,SPRING LAKE,MI,261390211002011,26,139,021100
20275 N OLD CENTRALIA LN,DIX,IL,170810501002042,17,081,050100
3369 ANTIGUA,AUBURN HILLS,MI,,,,
4306 COUNTY ROAD 22,FREDERICK,CO,081230020192035,08,123,002019
831 ARBOR STREET,CONCORD,NC,370250424012044,37,025,042401
CLINTON BLVD. AND FLAG CHAPEL RD.,JACKSON,MS,280490109011006,28,049,010901
INTERSECTION OF BAIN STREET AND UNION STREET,JURUPA VALLEY,CA,,,,
2122 S. 49TH W. AVE.,TULSA,OK,401430066001020,40,143,006600
5415 AVENUE M,SANTA FE,TX,481677235013015,48,167,723501
5101 E ROSEDALE STREET,FORT WORTH,TX,484391014034017,48,439,101403
1716 GUINOTTE AVE,KANSAS CITY,MO,290950155001138,29,095,015500
16641 S TAMIAMI TRL,FT MYERS,FL,,,,
BYERS ST ,BATESVILLE,AR,,,,
14218 PARK AVE,BURNSVILLE,MN,270370607542005,27,037,060754
2385 MITCHELL RD.,LAWRENCEVILLE,GA,131350506111010,13,135,050611
SEIDEL RD,WINTER GARDEN,FL,,,,
6015 WHITE DRIVE,PRIOR LAKE,MN,271390809064000,27,139,080906
OYKEY TRAIL ,HUDSON OAKS,TX,,,,
SCOTTSDALE RD ,SCOTTSDALE,AZ,,,,
INDIAN CREEK DRIVE AT ROUTE EE,LANAGAN,MO,,,,
479 BROADWAY,LAWRENCE,MA,250092518003006,25,009,251800
TELL ROAD SW AT PINELLA DRIVE SW,ATLANTA,GA,131210077103003,13,121,007710
INTERSECTION OF VOLUNTEER PARKWAY AND BROAD STREET,BRISTOL,TN,,,,
17555 HEIDELBERG WAY,LAKEVILLE,MN,270370608193004,27,037,060819
1661 N BROWN RD,INYOKERN,CA,060290055101052,06,029,005510
5204 N. ATKINSON,ROSWELL,NM,350050011022097,35,005,001102
14151 GREEN VIEW CT,EDEN PRAIRIE,MN,270530260064000,27,053,026006
23562 WOODEN HORSE TRAIL,MURRIETA,CA,060650432271002,06,065,043227
756 E PRIMA VISTA BLVD (NW CORNER OF E PRIMA VISTA BLVD ,PORT ST LUCIE,FL,121113820101005,12,111,382010
368 W 3000 N (W MILLCREEK CIRCLE),PLEASANT GROVE,UT,,,,
13115 SILVER SADDLE LANE,POWAY,CA,060730170061000,06,073,017006
ENTIRE CITY,ALICE,TX,,,,
100 PARK LANE,WASHINGTON,PA,421257527002012,42,125,752700
1355 TERRELL MILL ROAD,MARIETTA,GA,130670303532006,13,067,030353
1201 ST. CHARLES ST,ELGIN,IL,170898518012027,17,089,851801
1230 HUNTERS LAKE DRIVE,CUYAHOGA FALLS,OH,391535201062001,39,153,520106
3340 W. TIENKEN,ROCHESTER HILLS,MI,261251925002009,26,125,192500
4675 HACKETT ROAD,SAGINAW,MI,261450103061022,26,145,010306
60 HUBBARD AVE,BUTTERFIELD,MN,271659503001063,27,165,950300
3700 DEERFIELD ROAD APT. V12/13,MOUNT PLEASANT,MI,260730008001013,26,073,000800
1007 HALF MOON BAY DRIVE,CROTON-ON-HUDSON,NY,361190139004026,36,119,013900
30157 HWY 96,KINDERHOOK,IL,,,,
411 HAWKWOOD CT,HIXSON,TN,470650104114005,47,065,010411
2879 BARONG CT,RENO,NV,320310024121004,32,031,002412
8865 STANFORD BLVD,COLUMBIA,MD,240276067081007,24,027,606708
15933 CLAYTON ROAD,BALLWIN,MO,291892216263018,29,189,221626
10000 RESEARCH BLVD,AUSTIN,TX,,,,
MILL ROAD AND PENINSULA BLVD (INTERSECTION),HEWLETT,NY,,,,
911 HAMPTON RD.,LYNDEN,WA,530730102023072,53,073,010202
13401 SR 4,BELLEVUE,OH,,,,
HIGHLAND AVENUE,LEXINGTON,MO,,,,
MYERS CORNER ROAD ,WAPPINGERS FALLS,NY,,,,
47 INGALLS AVENUE,TROY,NY,360830404002002,36,083,040400
INTERSECTION OF HWY 39 AND W 1900 S,ABERDEEN,ID,,,,
STELTON RD. ,PISCATAWAY,NJ,,,,
900 EAST WICKENBURG WAY,WICKENBURG,AZ,040130405025013,04,013,040502
SALEM ST @ S BROADWAY,LAWRENCE,MA,250092515001012,25,009,251500
STRANDWAY AND YORK CT,SAN DIEGO,CA,,,,
HWY 247 SPUR @ SANDBED RD.,Not Within a Municipality,GA,,,,
64 ILLINOIS ST,ROCHESTER,NY,360550076003005,36,055,007600
STATE ROUTE 8,CORNPLANTER TOWNSHIP,PA,,,,
2709 WALTERS PORT LN,EXCELSIOR,MN,270530272032016,27,053,027203
10315 MIDVALE AVE N,SEATTLE,WA,530330013002009,53,033,001300
136 W. ST GEORGE AVE,GRANTSBURG,WI,550139709002046,55,013,970900
DUNCAN CHAPEL ROAD,GREENVILLE,SC,,,,
1003 FAYETTEVILLE STREET,DURHAM,NC,370630023001022,37,063,002300
2600 COLLINS AVE,MIAMI BEACH,FL,120860041052002,12,086,004105
JACKSON ST,NORTHAMPTON,MA,,,,
INTERSECTION OF CO HWY 49 ,BEAVERTON,AL,,,,
710 N STRATFORD ROAD,MOSES LAKE,WA,,,,
7 MAPLE AVE,BLOOMFIELD,NY,360690505012004,36,069,050501
2421 EAGLE DRIVE,AUGUSTA,GA,132450105062006,13,245,010506
107 KING GEORGE ROAD,PENNINGTON,NJ,340210039031001,34,021,003903
34368 RD 196,WOODLAKE,CA,061070007012013,06,107,000701
MINNIE ST ,PAYNESVILLE,MN,,,,
28000 SHAKER BLVD,PEPPER PIKE,OH,390351791012003,39,035,179101
604 WALNUT WAY,SEVIERVILLE,TN,471550805001028,47,155,080500
814 S 28TH STREET,BILLINGS,MT,301110003002012,30,111,000300
908 EAST FULTON ST.,MOUNT VERNON,WA,530579523031019,53,057,952303
506 GRAND AVE.,NORTH BERGEN,NJ,340170149001005,34,017,014900
2368 E LOCUST ST,DECATUR,IL,171150010001020,17,115,001000
ARKANSAS RIVER,LAVACA,AR,,,,
45581 ECORSE ROAD,VAN BUREN TOWNSHIP,MI,261635881021001,26,163,588102
20912 LE FEVER,WARREN,MI,260992637001016,26,099,263700
380 CLARK STREET,PONTOTOC,MS,281159503001021,28,115,950300
INTERSECTION OF PATRIOTS LANDING DRIVE AND PATRIOTS LANDING PLACE,NEW KENT,VA,,,,
1435 S. 8TH STREET,PHILADELPHIA,PA,421010028011009,42,101,002801
8070 CARNEAL RD,WEST PADUCAH,KY,211450315012108,21,145,031501
CORNER OF SR 57 ,RITTMAN,OH,,,,
1100 N. COUNCIL AVE.,BLANCHARD,OK,,,,
1204 W. 6TH ST ,IRVING,TX,481130152062000,48,113,015206
1194 UNIVERSITY DR,CORAL SPRINGS,FL,120110203201021,12,011,020320
OX RD. ,FAIRFAX STATION,VA,,,,
SR 436 AT LYNCHFIELD AVE,ALTAMONTE SPRINGS,FL,,,,
1210 HALF ST,Not Within a Municipality,DC,,,,
3152 KENNEDY BLVD,JERSEY CITY,NJ,,,,
1878 KENNY RD,COLUMBUS,OH,390490078302008,39,049,007830
2483 MEMORIAL DRIVE SE,ATLANTA,GA,130890208023009,13,089,020802
E. MAIN AND S. CROWLEY RD.,CROWLEY,TX,484391110152007,48,439,111015
14406 EVERGREEN,DETROIT,MI,261635437001002,26,163,543700
2920 ZOO DRIVE,SAN DIEGO,CA,060730056022009,06,073,005602
642 S ALVARADO STREET,LOS ANGELES,CA,060372089032002,06,037,208903
INTERSECTION OF HANLEY AND SR42,MANSFIELD,OH,,,,
100 E CLARENDON DR,DALLAS,TX,481130048001048,48,113,004800
BROADWAY ST. AND I-15 SOUTHBOUND ONRAMP,IDAHO FALLS,ID,,,,
"MINGO CREEK, 11TH AND MINGO",TULSA,OK,,,,
INTERSECTION OF WEST WILMINGTON STREET AND HIGHWAY 53,BURGAW,NC,,,,
LINKWOOD RD AT MARTIN LUTHER KING JR RD,ATLANTA,GA,,,,
601 N. VERMILLLION ST.,LEXINGTON,IL,171130057005010,17,113,005700
BAY RIDGE PARKWAY ,BROOKLYN,NY,,,,
"D STREET, 3126 FEET WEST OF 15TH STREET",BURNS HARBOR,IN,,,,
604 WEST GRAUWYLER LANE,IRVING,TX,481130145023000,48,113,014502
621 W FRANCIS ST,ASPEN,CO,080970004042084,08,097,000404
INTERSECTION NEAR   46515 HARRY BYRD HWY,POTOMAC FALLS,VA,,,,
9948 PRINCETON GLENDALE ROAD,WEST CHESTER,OH,390170111231048,39,017,011123
NE 25TH ST ,OCALA,FL,,,,
245 BRIAR RIDGE COURT,OZARK,MO,,,,
2707 US HWY 190,COPPERAS COVE,TX,,,,
111 W OAK AVE,TAMPA,FL,120570042001052,12,057,004200
1144 N STEMMONS FWY,LEWISVILLE,TX,481210216182001,48,121,021618
W 7800 S AND REDWOOD ROAD,WEST JORDAN,UT,,,,
COUNTY RD 220 AND COUNTY RD 43,Not Within a Municipality,TX,,,,
"PRAIRIE AVENUE, APPROXIMATELY 0.1 MILES NORTH OF E. INMAN PARKWAY",BELOIT,WI,,,,
1713 CRESTDALE DRIVE,CHARLOTTE,NC,371190048001000,37,119,004800
209TH W. AVE. AND W. ARCHER ST.,SAND SPRINGS,OK,401139400073084,40,113,940007
1014 W PIKE ST,GOSHEN,IN,180390005021038,18,039,000502
3051 E. MAYFIELD ,GRAND PRAIRIE,TX,484391115711000,48,439,111571
111 JEFFERSON STREET,ROBINSON,PA,420639615004038,42,063,961500
8424 SANTA MONICA BLVD,WEST HOLLYWOOD,CA,060377003002007,06,037,700300
13086 AVENUE 384,CUTLER,CA,061070006004048,06,107,000600
SW 19TH AND PENNSYLVANIA AVE.,OKLAHOMA CITY,OK,401091100003036,40,109,110000
VALLEY CREEK DRIVE AND TOWER DRIVE,WOODBURY,MN,271630710064002,27,163,071006
401 WEST MCNEESE ST,LAKE CHARLES,LA,220190013021003,22,019,001302
M-30 HIGHWAY AND CEDAR STREET,EDENVILLE TOWNSHIP,MI,,,,
102 ANGELA COURT,WOODSTOCK,GA,130570910013026,13,057,091001
9347 SR 45,BLOOMFIELD TOWNSHIP,OH,,,,
EDGEWOOD DR ,MAUMELLE,AR,,,,
1347 COURTLAND DRIVE,RALEIGH,NC,371830504001005,37,183,050400
OKATIE HWY (SC HWY 46) AT INTERSECTION OF NEW RIVER TRAIL,BLUFFTON,SC,,,,
4337 SILVER DOLLAR AVENUE,LAS VEGAS,NV,320030022041001,32,003,002204
120 MERRISON ST.,TEANECK,NJ,340030545002016,34,003,054500
210 S MERIDIAN,PUYALLUP,WA,530530734073024,53,053,073407
9501 SEA PINES WAY,FORT WAYNE,IN,180030117021007,18,003,011702
5111 DAFFODILL LANE,CONCORD,NC,370250405014000,37,025,040501
MO 169 HIGHWAY AND BARRY ROAD,KANSAS CITY,MO,,,,
800 SIBLEY MEMORIAL HIGHWAY,MENDOTA HEIGHTS,MN,270370606033001,27,037,060603
WESTERN AVENUE,MOON TOWNSHIP,PA,,,,
824 BELVOIR ROAD,PLYMOUTH MEETING,PA,420912106001012,42,091,210600
15TH AND NAISMITH,LAWRENCE,KS,,,,
4256 ORANGE AVENUE,SAN DIEGO,CA,060730022022000,06,073,002202
N TRYON STREET ,CHARLOTTE,NC,,,,
1100 S. ELLSWORTH AVE.,SALEM,OH,390299505005017,39,029,950500
2214 CAMBRIA ST,CAMBRIA,CA,,,,
324 IDAHO AVE,SANTA MONICA,CA,060377014022009,06,037,701402
1910 E 52ND STREET,SAVANNAH,GA,130510035021005,13,051,003502
230 DESERT BREEZE DRIVE,CALIFORNIA CITY,CA,060290055081067,06,029,005508
W PARKER RD AT RANCHERO RD,PLANO,TX,,,,
551 E 179 STREET,BRONX,NY,360050375042002,36,005,037504
257 E CLARK STREET,GRANTSVILLE,UT,490451307082022,49,045,130708
2249 3RD AVE,NEW BRIGHTON,PA,420076054002001,42,007,605400
7520 NC HWY 751,DURHAM,NC,370370207031015,37,037,020703
8580 W. GRAND RIVER AVENUE,BRIGHTON,MI,,,,
321 EAST MONTGOMERY STREET,GAFFNEY,SC,450219702011086,45,021,970201
101 BROOKSIDE DRIVE,ANNA,OH,391499715004005,39,149,971500
UNKNOWN,TALENT,OR,,,,
2200 W FLORIDA AVE,HEMET,CA,060650434051004,06,065,043405
3742 E. HIGHWAY 90,CRESTVIEW,FL,,,,
3401 O STREET,LINCOLN,NE,311090016001002,31,109,001600
3178 LAVON DRIVE,GARLAND,TX,,,,
928 NORTHTON,FORT WORTH,TX,484391237004004,48,439,123700
SW CORNER OF ZERO ST AND MASSARD RD,FORT SMITH,AR,,,,
400 BEACH AVENUE,DELL RAPIDS,SD,460990101021053,46,099,010102
462 OHIO AVE,WESTOVER,WV,540610112003035,54,061,011200
2500 E PLANO PKWY,PLANO,TX,480850319011021,48,085,031901
50 COTTONWOOD PASS ROAD,GYPSUM,CO,080370002004015,08,037,000200
459 LORAS BLVD,DUBUQUE,IA,190610007011000,19,061,000701
8258 SR 141,KITTS HILL,OH,390870505012014,39,087,050501
9201 MONTGOMERY ROAD,MONTGOMERY,OH,390610240021007,39,061,024002
NEAR INTERSECTION (STEWART RD AND MILE 8),MCALLEN,TX,,,,
675 GENTRY AVE,OAKDALE,MN,271630709105006,27,163,070910
ANCONA RD (N 300 E RD) AND E 2900 N RD,ANCONA,IL,,,,
69 YORK PLAZA,YORK,NE,,,,
901 LAFAYETTE ROAD,CRAWFORDSVILLE,IN,181079569002032,18,107,956900
618 HIGHWAY 293 SE,CARTERSVILLE,GA,,,,
5564 DAYTON BOULEVARD,CHATTANOOGA,TN,470650104351009,47,065,010435
LAFAYETTE DR AND BATTLE RIDGE DR,SOUTH FAYETTE TWP,PA,,,,
448 CHESTNUT ST,RIMERSBURG,PA,420311607022014,42,031,160702
3 SOUTH STREET,LAWRENCE,NY,360594113011012,36,059,411301
1202 BROWN AVE,ERIE,PA,420490011002010,42,049,001100
39TH AVENUE NORTH AND FAIRMONT ST,BIRMINGHAM,AL,,,,
6700 WESTCHESTER DRIVE,DALLAS,TX,481130195021025,48,113,019502
278 S. CLEVELAND MASSILLON ROAD,AKRON,OH,391535335012020,39,153,533501
301 N MARENGO AVE,ALHAMBRA,CA,060374808041008,06,037,480804
3764 CR15,SOUTH POINT,OH,390870511012000,39,087,051101
