title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Hazardous Materials: Public Meeting Notice for the 2020 Emergency Response Guidebook (ERG2020),Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA's Office of Hazardous Materials Safety (OHMS) will hold a public meeting to solicit input on the development of the 2020 edition of the Emergency Response Guidebook (ERG2020). The meeting will take place on June 17, 2019, in Washington, DC. PHMSA developed the United States version of the Emergency Response Guidebook (ERG) for use by emergency services personnel to provide guidance for initial response to hazardous materials transportation incidents. Since 1980, it has been PHMSA's goal that all public emergency response personnel (e.g., fire-fighting, police, and rescue squads) have free and immediate access to the ERG. To date, PHMSA has distributed more than 14.5 million copies of the ERG to emergency service agencies and developed free online resources and downloadable mobile applications to make the ERG more accessible. Since 1996, PHMSA, Transport Canada, and the Secretariat of Communication and Transport of Mexico have collaborated in development of the ERG, with interested parties from government and industry providing additional assistance, including Argentina's Chemical Information Center for Emergencies (CIQUIME). ERG2020 will be published in English, French, and Spanish and will increase public safety by providing consistent emergency response procedures for hazardous materials transportation incidents throughout North America. During the meeting, PHMSA will respond to stakeholder requests for a public discussion of the methodology used to determine the appropriate response protective distances for poisonous vapors resulting from spills involving dangerous goods considered toxic by inhalation in the ERG2016 ``Green Pages.'' To pursue our objective of continually improving the ERG, PHMSA will solicit comments related to new methodologies and considerations for future editions of the ERG. Additionally, the meeting will include discussions on the outcomes of field experiments, ongoing research efforts to better understand environmental effects on airborne toxic gas concentrations, and updates to be published in the ERG2020. Time and Location: The meeting will be held at the U.S. Department of Transportation Conference Center at 1200 New Jersey Ave. SE, Washington, DC 20590 on June 17, 2019, from 8:30 a.m. to 2:30 p.m. Eastern Standard Time. Registration: DOT requests that attendees pre-register for this meeting by completing the form at https://www.surveymonkey.com/r/ 82Z6KYM. Conference call-in and ``live meeting'' capability will be provided. Specific information about conference call-in and live meeting access will be posted, when available, at: https:// www.phmsa.dot.gov/research-and-development/hazmat/rd-meetings-and- events. DOT is committed to providing equal access for all Americans and ensuring that information is available in appropriate alternative formats to meet the requirements of persons who have a disability. If you require an alternative version of files provided or alternative accommodations, please contact PHMSA-Accessibility@dot.gov no later than June 3, 2019.",84 FR 19999, 2019-09299,https://www.federalregister.gov/documents/2019/05/07/2019-09299/hazardous-materials-public-meeting-notice-for-the-2020-emergency-response-guidebook-erg2020,https://www.govinfo.gov/content/pkg/FR-2019-05-07/pdf/2019-09299.pdf,05/07/2019
"Pipeline Safety: Request for Special Permit; Gulf South Pipeline Company, LP",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"On March 26, 2019, PHMSA published a notice to solicit public comment on a request for a special permit from Gulf South Pipeline Company, LP, seeking relief from compliance with certain requirements in the federal pipeline safety regulations. The comment period closed on April 25, 2019. PHMSA is issuing this notice to extend the comment period for an additional 15 days to give the public more time to review the special permit and its associated supporting documents. At the conclusion of the 15-day extension comment period, PHMSA will review the comments received from this notice as part of its evaluation to grant or deny the special permit request.",84 FR 18918, 2019-08985,https://www.federalregister.gov/documents/2019/05/02/2019-08985/pipeline-safety-request-for-special-permit-gulf-south-pipeline-company-lp,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08985.pdf,05/02/2019
Pipeline Safety: Potential for Damage to Pipeline Facilities Caused by Earth Movement and Other Geological Hazards,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing this advisory bulletin to remind owners and operators of gas and hazardous liquid pipelines of the potential for damage to pipeline facilities caused by earth movement from both landslides and subsidence in variable, steep, and rugged terrain and for varied geological conditions. These conditions can pose a threat to the integrity of pipeline facilities if those threats are not identified and mitigated.",84 FR 18919, 2019-08984,https://www.federalregister.gov/documents/2019/05/02/2019-08984/pipeline-safety-potential-for-damage-to-pipeline-facilities-caused-by-earth-movement-and-other,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08984.pdf,05/02/2019
Hazardous Materials: Emergency Waiver No. 12,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing an emergency waiver order to railroad carriers waiving certain expedited movement requirements when conducting operations within the Nebraska Severe Winter Storm, Straight-line Winds, And Flooding disaster area. Given the continuing impacts caused by the Nebraska Severe Winter Storm, Straight-line Winds, And Flooding disaster, PHMSA's Administrator has determined that regulatory relief is in the public interest and necessary to ensure the safe transportation in commerce of hazardous materials while railroad carriers conduct operations within the disaster area. This Waiver Order is effective immediately and shall remain in effect for 30 days from the date of issuance.",84 FR 16932, 2019-08117,https://www.federalregister.gov/documents/2019/04/23/2019-08117/hazardous-materials-emergency-waiver-no-12,https://www.govinfo.gov/content/pkg/FR-2019-04-23/pdf/2019-08117.pdf,04/23/2019
Conforming Amendments and Technical Corrections to Department Rules Implementing the Transportation Industry Drug Testing Program,Rule,Transportation Department; Federal Aviation Administration; Transportation Department; Pipeline and Hazardous Materials Safety Administration; Federal Transit Administration,"This final rule makes minor technical corrections to the OST, FAA, FTA, and PHMSA regulations governing drug testing for safety- sensitive employees to ensure consistency with the recent amendments made to the Department of Transportation's regulation, ``Procedures for Transportation Workplace Drug and Alcohol Testing Programs,'' which added requirements to test for oxycodone, oxymorphone, hydrocodone, and hydromorphone to DOT-regulated drug testing programs. The changes to the Department's regulation make it necessary to refer to these substances, as well as the previously covered drugs morphine, 6- acetylmorphine, and codeine, by the more inclusive term ``opioids,'' rather than ``opiates.'' This rule amends the term in the FAA, FTA, and PHMSA regulations to ensure that all DOT drug testing rules are consistent with one another and with the Mandatory Guidelines for Federal Workplace Drug Testing Programs. In addition, this rule makes a conforming amendment to include the term ``opioids'' in the wording of the Department's annual information collection requirement and clarifications to section 40.26 and Appendix H regarding the requirement for employers to follow the Department's instructions for the annual information collection.",84 FR 16770, 2019-06986,https://www.federalregister.gov/documents/2019/04/23/2019-06986/conforming-amendments-and-technical-corrections-to-department-rules-implementing-the-transportation,https://www.govinfo.gov/content/pkg/FR-2019-04-23/pdf/2019-06986.pdf,04/23/2019
"Pipeline Safety: Information Collection Activities, Gas and Liquid Pipeline Safety Program Certification",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995 (44 U.S.C. 3501 et seq.), this notice announces that the information collection requests abstracted below are being forwarded to the Office of Management and Budget (OMB) for review and comment. PHMSA will request an extension with no change for the information collections identified by OMB control numbers 2137-0610, 2137-0624, and 2137-0625, which are due to expire on April 30, 2019. PHMSA will also request an extension with no change for the information collection identified by OMB Control number 2137-0589, which is due to expire on July 31, 2019. A Federal Register notice with a 60-day comment period soliciting comments on these information collections was published on February 11. 2019.",84 FR 16559, 2019-07925,https://www.federalregister.gov/documents/2019/04/19/2019-07925/pipeline-safety-information-collection-activities-gas-and-liquid-pipeline-safety-program,https://www.govinfo.gov/content/pkg/FR-2019-04-19/pdf/2019-07925.pdf,04/19/2019
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",84 FR 15286, 2019-07344,https://www.federalregister.gov/documents/2019/04/15/2019-07344/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-04-15/pdf/2019-07344.pdf,04/15/2019
Hazardous Materials: Notice of Applications for Modifications to Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 15288, 2019-07343,https://www.federalregister.gov/documents/2019/04/15/2019-07343/hazardous-materials-notice-of-applications-for-modifications-to-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-04-15/pdf/2019-07343.pdf,04/15/2019
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 15289, 2019-07342,https://www.federalregister.gov/documents/2019/04/15/2019-07342/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-04-15/pdf/2019-07342.pdf,04/15/2019
"Pipeline Safety: Potential for Damage to Pipeline Facilities Caused by Flooding, River Scour, and River Channel Migration",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing this advisory bulletin to remind all owners and operators of gas and hazardous liquid pipelines of the potential for damage to pipeline facilities caused by severe flooding and actions that operators should consider taking to ensure the integrity of pipelines in the event of flooding, river scour, and river channel migration.",84 FR 14715, 2019-07132,https://www.federalregister.gov/documents/2019/04/11/2019-07132/pipeline-safety-potential-for-damage-to-pipeline-facilities-caused-by-flooding-river-scour-and-river,https://www.govinfo.gov/content/pkg/FR-2019-04-11/pdf/2019-07132.pdf,04/11/2019
Pipeline Safety: Request for Revision of a Previously Approved Information Collection: National Pipeline Mapping System Program,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995 (44 U.S.C. 3501 et seq.), PHMSA announces that the information collection request detailed below will be forwarded to the Office of Management and Budget (OMB) for review. On June 22, 2016, PHMSA published a notice and requested comments on proposed revisions to the National Pipeline Mapping System (NPMS) Program.'' During the comment period, PHMSA received several comments on ways to improve this data collection and to consider a phased timeline to collect data. PHMSA is publishing this notice to address the comments received, to notify the public of proposed revisions to this information collection, and to announce that PHMSA is requesting a 3-year approval of this information collection from OMB.",84 FR 14717, 2019-07133,https://www.federalregister.gov/documents/2019/04/11/2019-07133/pipeline-safety-request-for-revision-of-a-previously-approved-information-collection-national,https://www.govinfo.gov/content/pkg/FR-2019-04-11/pdf/2019-07133.pdf,04/11/2019
Pipeline Safety: Meeting of the Gas Pipeline Advisory Committee,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces a public meeting of the Technical Pipeline Safety Standards Committee, also known as the Gas Pipeline Advisory Committee (GPAC). The GPAC will meet to discuss the gathering line component of the proposed rule titled ``Safety of Gas Transmission and Gathering Pipelines.''",84 FR 14724, 2019-07131,https://www.federalregister.gov/documents/2019/04/11/2019-07131/pipeline-safety-meeting-of-the-gas-pipeline-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2019-04-11/pdf/2019-07131.pdf,04/11/2019
Hazardous Materials: Emergency Waiver No. 13,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing an emergency waiver order to persons conducting operations under the direction of Environmental Protection Agency (EPA) Region 7 or United States Coast Guard (USCG) Eighth District within the Nebraska and Iowa disaster area. The Waiver is granted to support the EPA and USCG in taking appropriate actions to prepare for, respond to, and recover from a threat to public health, welfare, or the environment caused by actual or potential oil and hazardous materials incidents resulting from the Nebraska and Iowa disasters. This Waiver Order is effective immediately and shall remain in effect for 60 days from the date of issuance.",84 FR 14444, 2019-07088,https://www.federalregister.gov/documents/2019/04/10/2019-07088/hazardous-materials-emergency-waiver-no-13,https://www.govinfo.gov/content/pkg/FR-2019-04-10/pdf/2019-07088.pdf,04/10/2019
Hazardous Materials: Notice of Public Meetings in 2019 for International Standards on the Transport of Dangerous Goods,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces that PHMSA will host four public meetings during 2019 in advance of certain international meetings. For each of these meetings, PHMSA will solicit public input on current proposals. The first meeting will be held in preparation to the International Civil Aviation Organization's (ICAO) Dangerous Goods Panel (DGP) Working Group 19 meeting (WG/19) being held April 1-5, 2019, in Montreal, Canada. The second meeting will be held in preparation to the 55th session of the United Nations Sub-Committee of Experts on the Transport of Dangerous Goods (UNSCOE TDG) being held July 1-5, 2019, in Geneva, Switzerland. The third meeting will be held in preparation to the 27th meeting of the ICAO DGP (DGP/27) being held September 9-20, 2019, in Montreal, Canada. Finally, the fourth meeting will be held in preparation to the 56th session of the UNSCOE TDG being held December 2-11, 2019, in Geneva, Switzerland. Time and Location: Each public meeting will take place approximately two weeks preceding the international meeting at DOT Headquarters, West Building, 1200 New Jersey Avenue SE, Washington, DC 20590-0001. Specific information for each meeting will be posted when available on the PHMSA website at https://www.phmsa.dot.gov/ international-program/international-program-overview under ``Upcoming Events.'' This information will include the public meeting date, time, conference call-in number, and details for advanced registration.",84 FR 11865, 2019-05892,https://www.federalregister.gov/documents/2019/03/28/2019-05892/hazardous-materials-notice-of-public-meetings-in-2019-for-international-standards-on-the-transport,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05892.pdf,03/28/2019
Pipeline Safety: Exercise of Enforcement Discretion Regarding Farm Taps,Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is announcing its exercise of enforcement discretion with respect to portions of its regulations that pertain to farm taps. Pursuant to the exercise of enforcement discretion announced in this document, PHMSA will not take enforcement action against operators who forego the new maintenance and inspection requirements established in March 2017 and instead mitigate any future risk associated with farm taps through compliance with the existing Distribution Integrity Management Program (DIMP) regulations. This will provide regulatory flexibility to pipeline operators while at the same time maintaining an equivalent level of safety.",84 FR 11253, 2019-05677,https://www.federalregister.gov/documents/2019/03/26/2019-05677/pipeline-safety-exercise-of-enforcement-discretion-regarding-farm-taps,https://www.govinfo.gov/content/pkg/FR-2019-03-26/pdf/2019-05677.pdf,03/26/2019
"Pipeline Safety: Request for Special Permit; Golden Pass LNG Terminal, LP",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is publishing this notice to solicit public comment on a request for special permit, seeking relief from compliance with certain requirements in the Federal Pipeline Safety Regulations (PSRs). At the conclusion of the 30-day comment period, PHMSA will review the comments received from this notice as part of its evaluation to grant or deny the special permit request.",84 FR 11394, 2019-05713,https://www.federalregister.gov/documents/2019/03/26/2019-05713/pipeline-safety-request-for-special-permit-golden-pass-lng-terminal-lp,https://www.govinfo.gov/content/pkg/FR-2019-03-26/pdf/2019-05713.pdf,03/26/2019
"Pipeline Safety: Request for Special Permit; Gulf South Pipeline Company, LP",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is publishing this notice to seek public comments on a request for a special permit, seeking relief from compliance with certain requirements in the Federal pipeline safety regulations. At the conclusion of the 30-day comment period, PHMSA will review the comments received from this notice as part of its evaluation to grant or deny the special permit request.",84 FR 11395, 2019-05678,https://www.federalregister.gov/documents/2019/03/26/2019-05678/pipeline-safety-request-for-special-permit-gulf-south-pipeline-company-lp,https://www.govinfo.gov/content/pkg/FR-2019-03-26/pdf/2019-05678.pdf,03/26/2019
Pipeline Safety: Information Collection Activities-Request for Extension of Existing Information Collections,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments on two information collections that will be expiring in 2019. PHMSA will request an extension, without change, for the information collections identified by OMB control number 2137-0578 and 2137-0605.",84 FR 10894, 2019-05491,https://www.federalregister.gov/documents/2019/03/22/2019-05491/pipeline-safety-information-collection-activities-request-for-extension-of-existing-information,https://www.govinfo.gov/content/pkg/FR-2019-03-22/pdf/2019-05491.pdf,03/22/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",84 FR 8943, 2019-04452,https://www.federalregister.gov/documents/2019/03/12/2019-04452/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-03-12/pdf/2019-04452.pdf,03/12/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 8945, 2019-04453,https://www.federalregister.gov/documents/2019/03/12/2019-04453/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-03-12/pdf/2019-04453.pdf,03/12/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 8945, 2019-04451,https://www.federalregister.gov/documents/2019/03/12/2019-04451/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-03-12/pdf/2019-04451.pdf,03/12/2019
Hazardous Materials: Enhanced Safety Provisions for Lithium Batteries Transported by Aircraft (FAA Reauthorization Act of 2018),Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA issues this interim final rule (IFR) to revise the Hazardous Materials Regulations for lithium cells and batteries transported by aircraft. This IFR prohibits the transport of lithium ion cells and batteries as cargo on passenger aircraft; requires lithium ion cells and batteries to be shipped at not more than a 30 percent state of charge aboard cargo-only aircraft when not packed with or contained in equipment; and limits the use of alternative provisions for small lithium cell or battery shipments to one package per consignment. This IFR does not restrict passengers or crew members from bringing personal items or electronic devices containing lithium cells or batteries aboard aircraft, or restrict cargo-only aircraft from transporting lithium ion cells or batteries at a state of charge exceeding 30 percent when packed with or contained in equipment or devices.",84 FR 8006, 2019-03812,https://www.federalregister.gov/documents/2019/03/06/2019-03812/hazardous-materials-enhanced-safety-provisions-for-lithium-batteries-transported-by-aircraft-faa,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-03812.pdf,03/06/2019
Hazardous Materials: Oil Spill Response Plans and Information Sharing for High-Hazard Flammable Trains (FAST Act),Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA, in consultation with the Federal Railroad Administration and pursuant to the Fixing America's Surface Transportation Act (FAST Act) of 2015, issues this final rule to revise and clarify requirements for comprehensive oil spill response plans (COSRPs) and to expand their applicability based on petroleum oil thresholds that apply to an entire train consist. Specifically, this final rule: Expands the applicability for COSRPs; modernizes the requirements for COSRPs; requires railroads to share information about high-hazard flammable train (HHFT) operations with State and tribal emergency response commissions to improve community preparedness; and incorporates by reference a voluntary standard. The amendments in this final rule will provide regulatory flexibility and improve response readiness to mitigate effects of rail accidents and incidents involving petroleum oil and HHFTs.",84 FR 6910, 2019-02491,https://www.federalregister.gov/documents/2019/02/28/2019-02491/hazardous-materials-oil-spill-response-plans-and-information-sharing-for-high-hazard-flammable,https://www.govinfo.gov/content/pkg/FR-2019-02-28/pdf/2019-02491.pdf,02/28/2019
Hazardous Materials: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments on 3 information collections pertaining to hazardous materials transportation for which PHMSA intends to request renewal from the Office of Management and Budget.",84 FR 6041, 2019-03142,https://www.federalregister.gov/documents/2019/02/25/2019-03142/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2019-02-25/pdf/2019-03142.pdf,02/25/2019
"Pipeline Safety: Information Collection Activities, Gas and Liquid Pipeline Safety Program Certification",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995, this notice announces that the information collection request abstracted below is being forwarded to the Office of Management and Budget (OMB) for review and comment. PHMSA proposes revising certain parts of both the Natural Gas and Hazardous Liquid Base Grant Progress reports to make the data collected consistent with the data collected through the Pipeline Data Mart. A Federal Register notice with a 60-day comment period soliciting comments on the information collection was published on November 26, 2018.",84 FR 4128, 2019-02316,https://www.federalregister.gov/documents/2019/02/14/2019-02316/pipeline-safety-information-collection-activities-gas-and-liquid-pipeline-safety-program,https://www.govinfo.gov/content/pkg/FR-2019-02-14/pdf/2019-02316.pdf,02/14/2019
Hazardous Materials: Revisions to Hazardous Materials Grants Requirements (FAST Act),Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is revising the Hazardous Materials Regulations pertaining to the Hazardous Materials Grants Program and the Hazardous Materials Emergency Preparedness Grant. This final rule aligns with the Office of Management and Budget's Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (``Uniform Guidance'') and implements new requirements set forth by the Fixing America's Surface Transportation (FAST) Act of 2015.",84 FR 3993, 2019-02293,https://www.federalregister.gov/documents/2019/02/14/2019-02293/hazardous-materials-revisions-to-hazardous-materials-grants-requirements-fast-act,https://www.govinfo.gov/content/pkg/FR-2019-02-14/pdf/2019-02293.pdf,02/14/2019
Pipeline Safety: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments on certain information collections that are due to expire in 2019. PHMSA will request an extension with no change for the information collections identified by the Office of Management and Budget (OMB) control numbers 2137-0610, 2137-0624, and 2137-0625, which are due to expire on April 30, 2019. PHMSA will also request an extension with no change for the information collection identified by OMB Control number 2137-0589, which is due to expire on 7/31/2019.",84 FR 3278, 2019-01856,https://www.federalregister.gov/documents/2019/02/11/2019-01856/pipeline-safety-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2019-02-11/pdf/2019-01856.pdf,02/11/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 2334, 2019-01296,https://www.federalregister.gov/documents/2019/02/06/2019-01296/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-02-06/pdf/2019-01296.pdf,02/06/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 2335, 2019-01295,https://www.federalregister.gov/documents/2019/02/06/2019-01295/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-02-06/pdf/2019-01295.pdf,02/06/2019
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",84 FR 2336, 2019-01297,https://www.federalregister.gov/documents/2019/02/06/2019-01297/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2019-02-06/pdf/2019-01297.pdf,02/06/2019
"Pipeline Safety: Information Collection Activities, Revision to OPID Assignment Request and National Registry Notification",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995, this notice announces that the information collection request abstracted below is being forwarded to the Office of Management and Budget (OMB) for review and comment. PHMSA proposes revising certain parts of the forms and instructions for the Operator Assignment Request (PHMSA F 1000.1) and National Registry Notification (PHMSA F 1000.2) currently approved under OMB control number 2137-0627. A Federal Register notice with a 60-day comment period soliciting comments on the information collection was published on August 9, 2018.",83 FR 64932, 2018-27274,https://www.federalregister.gov/documents/2018/12/18/2018-27274/pipeline-safety-information-collection-activities-revision-to-opid-assignment-request-and-national,https://www.govinfo.gov/content/pkg/FR-2018-12-18/pdf/2018-27274.pdf,12/18/2018
Pipeline Safety: Meetings of the Gas Pipeline Advisory Committee and Liquid Pipeline Advisory Committee,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces a public meeting of the Technical Pipeline Safety Standards Committee, also known as the Gas Pipeline Advisory Committee (GPAC), and a joint meeting of the GPAC and the Technical Hazardous Liquid Pipeline Safety Standards Committee, also known as the Liquid Pipeline Advisory Committee (LPAC). The GPAC will meet to discuss the gathering line component of the proposed rule titled: ``Safety of Gas Transmission and Gathering Pipelines.'' The GPAC and LPAC will meet jointly to discuss a variety of policy issues and topics relevant to both gas and liquid pipeline safety.",83 FR 64933, 2018-27275,https://www.federalregister.gov/documents/2018/12/18/2018-27275/pipeline-safety-meetings-of-the-gas-pipeline-advisory-committee-and-liquid-pipeline-advisory,https://www.govinfo.gov/content/pkg/FR-2018-12-18/pdf/2018-27275.pdf,12/18/2018
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",83 FR 64427, 2018-27112,https://www.federalregister.gov/documents/2018/12/14/2018-27112/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2018-12-14/pdf/2018-27112.pdf,12/14/2018
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",83 FR 64429, 2018-27111,https://www.federalregister.gov/documents/2018/12/14/2018-27111/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2018-12-14/pdf/2018-27111.pdf,12/14/2018
